Day	Time	99XXX9999	18XXX9999	17XXX9999
0	8	0	0	CLE1013-TH-A1-GDN106
0	9	FRE1001-TH-F1-TT621	FRE1001-TH-F1-TT621	CSE3001-ETH-F1-SJT801
0	10	0	0	MAT2001-ETH-D1-SMV111
0	11	0	0	0
0	12	0	0	CSE4019-ETH-TG1-SJT508
0	13	0	0	0
0	14	MAT3005-TH-A2-SJT109	MAT3005-TH-A2-SJT109	0
0	15	MEE1008-TH-F2-MB227	MEE1008-TH-F2-MB227	0
0	16	ECE2004-TH-D2-TT206	ECE2004-TH-D2-TT206	0
0	17	ECE3001-ETH-TB2-TT208	ECE3001-ETH-TB2-TT208	BIT1026-TH-TB2-CBMR301
0	18	ECE3013-ETH-TG2-TT524	ECE3013-ETH-TG2-TT524	0
0	19	MAT3005-TH-V3-SJT109	MAT3005-TH-V3-SJT109	0
1	8	0	0	0
1	9	0	0	CSE4019-ETH-G1-SJT508
1	10	0	0	STS2002-SS-E1-TT620
1	11	0	0	MAT3004-TH-TC1-SJT315
1	12	0	0	0
1	13	0	0	0
1	14	ECE3001-ETH-B2-TT208	ECE3001-ETH-B2-TT208	BIT1026-TH-B2-CBMR301
1	15	ECE3013-ETH-G2-TT524	ECE3013-ETH-G2-TT524	CSE2003-ETH-G2-SJT304
1	16	STS2002-SS-E2-SMVG11	STS2002-SS-E2-SMVG11	0
1	17	ECE2005-TH-TC2-TT621	ECE2005-TH-TC2-TT621	0
1	18	MAT3005-TH-TAA2-SJT109	MAT3005-TH-TAA2-SJT109	0
1	19	0	0	0
2	8	0	0	MAT3004-TH-C1-SJT315
2	9	0	0	CLE1013-TH-A1-GDN106
2	10	FRE1001-TH-F1-TT621	FRE1001-TH-F1-TT621	CSE3001-ETH-F1-SJT801
2	11	0	0	0
2	12	0	0	MAT3004-TH-V2-SJT315
2	13	0	0	0
2	14	ECE2005-TH-C2-TT621	ECE2005-TH-C2-TT621	0
2	15	MAT3005-TH-A2-SJT109	MAT3005-TH-A2-SJT109	0
2	16	MEE1008-TH-F2-MB227	MEE1008-TH-F2-MB227	0
2	17	ECE2004-TH-TD2-TT206	ECE2004-TH-TD2-TT206	0
2	18	0	0	0
2	19	0	0	0
3	8	0	0	MAT2001-ETH-D1-SMV111
3	9	0	0	0
3	10	0	0	CSE4019-ETH-G1-SJT508
3	11	0	0	STS2002-SS-TE1-TT620
3	12	0	0	MAT3004-TH-TCC1-SJT315
3	13	0	0	0
3	14	ECE2004-TH-D2-TT206	ECE2004-TH-D2-TT206	0
3	15	ECE3001-ETH-B2-TT208	ECE3001-ETH-B2-TT208	BIT1026-TH-B2-CBMR301
3	16	ECE3013-ETH-G2-TT524	ECE3013-ETH-G2-TT524	CSE2003-ETH-G2-SJT304
3	17	STS2002-SS-TE2-SMVG11	STS2002-SS-TE2-SMVG11	0
3	18	0	0	0
3	19	0	0	0
4	8	0	0	STS2002-SS-E1-TT620
4	9	0	0	MAT3004-TH-C1-SJT315
4	10	0	0	CLE1013-TH-TA1-GDN106
4	11	PHY1999-ETH-TF1-TT724	PHY1999-ETH-TF1-TT724	0
4	12	0	0	MAT2001-ETH-TD1-SMV111
4	13	0	0	0
4	14	STS2002-SS-E2-SMVG11	STS2002-SS-E2-SMVG11	0
4	15	ECE2005-TH-C2-TT621	ECE2005-TH-C2-TT621	0
4	16	MAT3005-TH-TA2-SJT109	MAT3005-TH-TA2-SJT109	0
4	17	MEE1008-TH-TF2-MB227	MEE1008-TH-TF2-MB227	0
4	18	0	0	0
4	19	0	0	0
